id,prenom,nom,sexe,date_naissance,classe
1,Gabriel,Morin,Garçon,2007-10-04,3
2,Léa,Benoit,Fille,2005-12-30,1
3,Tiago,Morel,Garçon,2008-10-31,4
4,Emma,Roy,Fille,2011-06-04,6
5,Louise,Lacroix,Fille,2005-09-08,1
6,Aaron,Leclercq,Garçon,2012-06-12,7
7,Victoire,Mathieu,Fille,2011-04-25,6
8,Adèle,Giraud,Fille,2008-07-30,4
9,Timéo,Denis,Garçon,2011-07-31,7
10,Robin,Bernard,Garçon,2007-04-08,3
11,Mya,Bourgeois,Fille,2005-03-07,1
12,Jules,Guerin,Garçon,2011-05-01,6
13,Léonie,Garcia,Fille,2007-12-25,3
14,Jules,Gaillard,Garçon,2007-08-16,3
15,Noé,Roger,Garçon,2010-06-20,6
16,Valentin,Lefebvre,Garçon,2005-09-22,1
17,Nina,Durand,Fille,2010-03-07,5
18,Lucas,Lefevre,Garçon,2007-12-21,3
19,Mathis,David,Garçon,2008-04-14,4
20,Victoire,Duval,Fille,2005-06-13,1
21,Liam,Boyer,Garçon,2011-10-31,7
22,Inaya,Garcia,Fille,2006-08-19,2
23,Liam,Durand,Garçon,2007-05-26,3
24,Milo,Lambert,Garçon,2010-06-04,6
25,Lya,Roger,Fille,2009-12-11,5
26,Victoire,Masson,Fille,2009-03-22,5
27,Adèle,Martinez,Fille,2008-10-07,4
28,Louna,Michel,Fille,2005-10-28,1
29,Romy,Simon,Fille,2008-12-01,4
30,Martin,Chevalier,Garçon,2005-05-30,1
31,Eliott,Gauthier,Garçon,2005-08-15,1
32,Margaux,Blanchard,Fille,2010-11-03,6
33,Luna,Leclerc,Fille,2009-03-27,4
34,Iris,Duval,Fille,2010-03-19,5
35,Romane,Muller,Fille,2011-05-19,6
36,Léo,Barbier,Garçon,2011-12-01,7
37,Valentin,Gerard,Garçon,2011-11-30,7
38,Axel,Roger,Garçon,2007-09-19,3
39,Louis,Francois,Garçon,2011-02-27,6
40,Alma,Pierre,Fille,2006-08-22,2
41,Lya,Muller,Fille,2005-04-14,1
42,Louna,Laurent,Fille,2006-09-29,2
43,Adam,Chevalier,Garçon,2005-06-18,1
44,Chloé,Brun,Fille,2011-03-22,6
45,Rose,Dupont,Fille,2010-06-03,5
46,Charlotte,Rolland,Fille,2012-04-03,7
47,Enzo,Gautier,Garçon,2010-05-15,5
48,Rayan,Gauthier,Garçon,2008-04-13,3
49,Julia,Chevalier,Fille,2005-06-14,1
50,Léo,Dumont,Garçon,2009-01-03,4
51,Théo,Boyer,Garçon,2009-05-04,4
52,Ava,Morin,Fille,2009-04-22,5
53,Ayden,Leroy,Garçon,2007-07-21,3
54,Jade,Durand,Fille,2009-01-12,4
55,Isaac,Blanc,Garçon,2008-09-18,4
56,Margaux,Leclercq,Fille,2011-03-17,6
57,Léa,Riviere,Fille,2007-02-24,3
58,Gabriel,Rey,Garçon,2007-09-13,3
59,Léon,Garcia,Garçon,2011-04-30,7
60,Romy,Morin,Fille,2010-04-29,6
61,Eliott,Caron,Garçon,2005-03-20,1
62,Lya,Lefevre,Fille,2006-09-15,2
63,Léonie,Morin,Fille,2011-05-18,7
64,Imran,Guillaume,Garçon,2007-05-14,3
65,Inaya,Morel,Fille,2011-02-04,6
66,Marius,Noel,Garçon,2005-10-14,1
67,Victoire,Laurent,Fille,2006-08-17,2
68,Lya,Gauthier,Fille,2009-05-03,5
69,Emy,Leroux,Fille,2012-01-06,7
70,Martin,Duval,Garçon,2007-01-31,2
71,Léa,Leroy,Fille,2007-10-10,3
72,Enzo,Giraud,Garçon,2006-11-23,2
73,Sofia,Boyer,Fille,2012-05-07,7
74,Léon,Marie,Garçon,2007-11-06,3
75,Augustin,Barbier,Garçon,2006-05-20,2
76,Nour,Roy,Fille,2012-01-05,7
77,Jules,Picard,Garçon,2005-03-26,1
78,Romy,Francois,Fille,2007-02-21,2
79,Imran,Marchand,Garçon,2011-09-29,7
80,Timéo,Morel,Garçon,2009-05-05,4
81,Romy,Mathieu,Fille,2009-04-14,5
82,Emy,Petit,Fille,2009-12-10,5
83,Inaya,Fournier,Fille,2007-01-21,2
84,Inaya,Philippe,Fille,2007-09-12,3
85,Luna,Fournier,Fille,2012-03-20,7
86,Mathis,Olivier,Garçon,2010-02-15,5
87,Nour,Boyer,Fille,2007-03-11,3
88,Inaya,Pierre,Fille,2009-12-13,5
89,Rose,Pierre,Fille,2010-03-22,5
90,Noah,Masson,Garçon,2007-11-19,3
91,Valentin,Guerin,Garçon,2011-05-08,6
92,Lucas,Lecomte,Garçon,2006-08-23,2
